Nama Lokasi,Level,Polygon XML
Bekasi > Jatisampurna > Mall Ciputra,3,"<coordinates>106.9260960817337,-6.382667581479448 106.92610681056976,-6.382998113738474 106.92699730396271,-6.382998113738474 106.92686855792999,-6.382614269804777 106.9260960817337,-6.382667581479448 </coordinates>"
Bekasi > Jatisampurna > Padang Golf Cilangkap,3,"<coordinates>106.91273331642151,-6.320609048328775 106.91269040107727,-6.327668316563575 106.91818356513977,-6.3276043357134295 106.91936373710632,-6.324639880970212 106.92026495933533,-6.323168310790377 106.92017912864685,-6.321014265729036 106.91786170005798,-6.320502412118033 106.91717505455017,-6.320033212529706 106.9163167476654,-6.319926576200292 106.91578030586243,-6.319905248931742 106.91539406776428,-6.32043843038106 106.91348433494568,-6.320395775885333 106.91273331642151,-6.320609048328775 </coordinates>"
Bekasi > Jatisampurna > Perumahan Citra - Ruko Novo,,
Bekasi > Jatisampurna > Plaza Cibubur,3,"<coordinates>106.91505812108517,-6.376036899385507 106.91490791738033,-6.376570022725048 106.91558383405209,-6.376783271905645 106.91573403775692,-6.376299462699507 106.91505812108517,-6.376036899385507 </coordinates>"
Bekasi > Jatisampurna > Ruko Cimanis,,
Bekasi > Jatisampurna > Ruko Ciputra Mall,2,"<coordinates>106.92556232213974,-6.382523639945145 106.92618995904922,-6.38292880860506 106.92725211381912,-6.382912815111407 106.927590072155,-6.382747548981034 106.9302186369896,-6.382710230815182 106.93033665418625,-6.382496984101003 106.92822843790054,-6.382464997086229 106.92554086446762,-6.382406354220609 106.92556810454539,-6.382525677368234 106.92556232213974,-6.382523639945145 </coordinates>"
Bekasi > Jatisampurna > Ruko City Walk,3,"<coordinates>106.91604986786842,-6.376827254538094 106.91601701080799,-6.376893894883132 106.91615514457226,-6.376948539959591 106.91619537770748,-6.376880566814819 106.91604986786842,-6.376827254538094 </coordinates>"
Bekasi > Jatisampurna > Ruko Gatewalk,3,"<coordinates>106.90935775637627,-6.391727819945056 106.90966084599495,-6.391797123887023 106.90989419817924,-6.391797123887023 106.91080883145332,-6.3917864617427105 106.91081151366234,-6.391941062813385 106.90973326563835,-6.391943728348684 106.90930142998695,-6.39181844817496 106.90935775637627,-6.391727819945056 </coordinates>"
Bekasi > Jatisampurna > Ruko Jimbaran,,
Bekasi > Jatisampurna > Ruko Kranggan Permai,3,"<coordinates>106.9147127866745,-6.373804439381099 106.91458404064178,-6.374630783918574 106.91464304924011,-6.374668102672715 106.91611558198929,-6.374950658865951 106.91624969244003,-6.374916005756279 106.91662520170212,-6.374164299262677 106.91663593053818,-6.374060339767266 106.91638916730881,-6.373999030311382 106.91537529230118,-6.373825764418159 106.91514194011688,-6.373783114343162 106.9148200750351,-6.373729801744413 106.91472887992859,-6.3737218048541235 106.9147127866745,-6.373804439381099 </coordinates>"
Bekasi > Jatisampurna > Ruko Kranggan Permata,2,"<coordinates>106.91483482718468,-6.3736338390527285 106.91619738936424,-6.373849755083796 106.91605255007744,-6.374830705784053 106.91467925906181,-6.374585468284883 106.91483616828918,-6.3736338390527285 106.91483482718468,-6.3736338390527285 </coordinates>"
Bekasi > Jatisampurna > Ruko Niaga Citra Grand,3,"<coordinates>106.91956490278244,-6.3772564182083356 106.9165313243866,-6.375606401884307 106.91676735877991,-6.375297189833787 106.91963464021683,-6.376824588924109 106.91966950893402,-6.376827254538094 106.91967219114304,-6.376851245063292 106.9196829199791,-6.376856576290983 106.91969364881516,-6.3768725699736635 106.91970974206924,-6.376883232428499 106.91956490278244,-6.3772564182083356 </coordinates>"
Bekasi > Jatisampurna > Ruko Time Square,3,"<coordinates>106.919936388731,-6.377994792129348 106.91935703158379,-6.379530179981886 106.91968157887459,-6.379652797563445 106.92025557160378,-6.378122741292733 106.919936388731,-6.377994792129348 </coordinates>"
Bekasi > Medan Satria,,
Bekasi > Medan Satria > Carrefour,3,"<coordinates>106.97628691792488,-6.186366104209669 106.9755332171917,-6.186358104441017 106.97551175951958,-6.186454101656922 106.9754607975483,-6.186448768478724 106.97544738650322,-6.18677142566324 106.97541788220406,-6.187235411682479 106.9761823117733,-6.187243411437862 106.97629228234291,-6.187171413635061 106.9763271510601,-6.187083416307244 106.97635129094124,-6.186971419686993 106.97638884186745,-6.186595430859736 106.97633787989616,-6.1864061030511515 106.97628691792488,-6.186366104209669 </coordinates>"
Bekasi > Medan Satria > Giant,3,"<coordinates>106.99293941259384,-6.24952582397476 106.99310034513474,-6.249573816819745 106.99315398931503,-6.2493925104933705 106.99297696352005,-6.249408508112916 106.99293941259384,-6.24952582397476 </coordinates>"
Bekasi > Medan Satria > Grand Mall Bekasi,3,"<coordinates>106.98431476950645,-6.227875269924492 106.98388561606407,-6.228592525501218 106.98384806513786,-6.22856586174266 106.98377028107643,-6.228621855634041 106.98293879628181,-6.2281312422873745 106.98297366499901,-6.228072581965228 106.98292538523674,-6.22802458715134 106.98337867856026,-6.227304664416418 106.98431476950645,-6.227875269924492 </coordinates>"
Bekasi > Medan Satria > Naga Pasar Swalayan Kranji,3,"<coordinates>106.98734767735004,-6.264356736519842 106.98722563683987,-6.2649646283112 106.98663555085659,-6.264851315202028 106.98659397661686,-6.264797991377422 106.98658727109432,-6.264749999930634 106.98660470545292,-6.264711340150839 106.98662750422955,-6.264682012040124 106.98673345148563,-6.264574031254636 106.98676027357578,-6.2644513863847715 106.98674820363522,-6.264374066778097 106.98673479259014,-6.264338073164177 106.98676161468029,-6.26427275141406 106.98679514229298,-6.264251421861236 106.98734767735004,-6.264356736519842 </coordinates>"
Bekasi > Medan Satria > Naga Swalayan Pondok Ungu,3,"<coordinates>106.97426721453667,-6.196133731372898 106.9744898378849,-6.196035069375574 106.97500750422478,-6.197027021590149 106.97474464774132,-6.197123016866794 106.97426932367023,-6.196135335778466 106.97426721453667,-6.196133731372898 </coordinates>"
Bekasi > Medan Satria >  Pelangi Food Park,,
Bekasi > Medan Satria > Ruko Asia Tropis,3,"<coordinates>106.97563380002975,-6.172880989057025 106.97491496801376,-6.172870322426973 106.97472184896469,-6.172720989583601 106.97476476430893,-6.170790325461712 106.97514563798904,-6.17076365878095 106.97509735822678,-6.17164365853781 106.97509199380875,-6.172198324300322 106.97512954473495,-6.172315657367987 106.97566598653793,-6.172368990571972 106.97563380002975,-6.172880989057025 </coordinates>"
Bekasi > Medan Satria > Ruko Cemara,3,"<coordinates>106.80520925670862,-6.396912928356737 106.80515427142382,-6.397037540904909 106.80528167635202,-6.3970855200597185 106.80532861500978,-6.396964905786925 106.80520925670862,-6.396912928356737 </coordinates>"
Bekasi > Medan Satria > Ruko Grand Boulevard,3,"<coordinates>106.97497934103012,-6.170128991382617 106.9774080812931,-6.17021165818763 106.97738930583,-6.170515658585523 106.97500213980675,-6.170374325088897 106.97498872876167,-6.170374325088897 106.97498068213463,-6.170374325088897 106.97497263550758,-6.170374325088897 106.97497934103012,-6.170128991382617 </coordinates>"
Bekasi > Medan Satria > Ruko Harapan Indah,3,"<coordinates>106.98161981999874,-6.1799782503998655 106.98161981999874,-6.180444908998784 106.9817391782999,-6.180440909069683 106.98173649609089,-6.1799782503998655 106.98161981999874,-6.1799782503998655 </coordinates>"
Bekasi > Medan Satria > Ruko Harapan Indah Asia Tropis,,
Bekasi > Medan Satria > Ruko Permata Harapan Baru,,
Bekasi > Medan Satria > Ruko Sentra Aneka Niaga,,
Bekasi > Medan Satria > Ruko Sentra Niaga,3,"<coordinates>106.98354497551918,-6.184072832237529 106.98349669575691,-6.185035474358175 106.98458299040794,-6.184926143900835 106.98458835482597,-6.1840408330233565 106.98354631662369,-6.184072832237529 106.98354497551918,-6.184072832237529 </coordinates>"
Bekasi > Medan Satria > Ruko Sentra Niaga 2,,
Bekasi > Medan Satria > Ruko Sentra Onderdil II,,
Bekasi > Medan Satria > Ruko Taman Harapan Baru,3,"<coordinates>106.9960829615593,-6.179499591580844 106.99517771601677,-6.179304927981845 106.99562966823578,-6.177163623667347 106.99648797512054,-6.177387621037444 106.9960829615593,-6.179499591580844 </coordinates>"
Bekasi > Mustikajaya,,
Bekasi > Mustikajaya > Giant Express,3,"<coordinates>107.0298519730568,-6.284356804366809 107.03002899885178,-6.284804707511633 107.03050643205643,-6.284639409967367 107.03032940626144,-6.284127520464873 107.0298519730568,-6.284356804366809 </coordinates>"
Bekasi > Mustikajaya > Perum Dukuh Zamrud,2,"<coordinates>107.02319338917732,-6.309121536234929 107.0234052836895,-6.30965739475076 107.0222170650959,-6.310387867655882 107.02184155583382,-6.309758701273554 107.02319414460419,-6.309121808521744 107.02319338917732,-6.309121536234929 </coordinates>"
Bekasi > Mustikajaya > Perumahan Bumyagara,,
Bekasi > Mustikajaya > Ruko Bekasi Timur Regency,,
Bekasi > Mustikajaya > Ruko Central Duku Zamrud,3,"<coordinates>107.02173493802547,-6.313926914318575 107.02172689139843,-6.314312142420509 107.02110327780247,-6.314325472107483 107.0210912078619,-6.313944242924468 107.02173493802547,-6.313926914318575 </coordinates>"
Bekasi > Mustikajaya > Ruko Duku Zamrud,3,"<coordinates>107.02230155467987,-6.31273923694797 107.02231228351593,-6.31085707598604 107.02267706394196,-6.310201250588291 107.02248930931091,-6.31001996537253 107.02229082584381,-6.310430522976186 107.02216744422913,-6.310830416433206 107.02211916446686,-6.312078082035194 107.02213525772095,-6.312712577492003 107.02230155467987,-6.31273923694797 </coordinates>"
Bekasi > Mustikajaya > Ruko Legenda Park,3,"<coordinates>107.01740384101868,-6.3191041427711 107.01759293675423,-6.319281425938492 107.01590448617935,-6.3209356215873616 107.0157878100872,-6.32081432297253 107.01578110456467,-6.320804992308659 107.01577171683311,-6.320791662788576 107.01575964689255,-6.320783665076355 107.01740384101868,-6.3191041427711 </coordinates>"
Bekasi > Mustikajaya > Ruko Mediterania,,
Bekasi > Mustikajaya > Ruko Mutiara Gading Timur,3,"<coordinates>107.02832344919443,-6.28420417061775 107.02825102955103,-6.284436787099513 107.02839586883783,-6.284503439367381 107.02847700566053,-6.284250160704067 107.02832344919443,-6.28420417061775 </coordinates>"
Bekasi > Mustikajaya > Ruko Pallazo,3,"<coordinates>107.02705174684525,-6.283802257081829 107.02826477587223,-6.284143517019454 107.02820107340813,-6.28442612273586 107.0269538462162,-6.284034207220046 107.02705174684525,-6.283802257081829 </coordinates>"
Bekasi > Mustikajaya > Ruko Pasadena,3,"<coordinates>107.0330149680376,-6.286561657195691 107.03238062560558,-6.286267055272812 107.03203059732914,-6.286413689734928 107.03196085989475,-6.286287050883713 107.03234307467937,-6.286141749426961 107.03244231641293,-6.286133751180458 107.03308872878551,-6.2864016923713955 107.0330149680376,-6.286561657195691 </coordinates>"
Bekasi > Mustikajaya > Ruko Sentra Niaga Bumyagawa,,
Bekasi > Mustikajaya > Ruko Tanjakan,3,"<coordinates>107.01476857066154,-6.3195693443365455 107.01494559645653,-6.319430716979706 107.01520845293999,-6.3196919761981585 107.01496973633766,-6.3198599284832255 107.01476857066154,-6.3195693443365455 </coordinates>"
Bekasi > Mustikajaya > Ruko Villa Asri,3,"<coordinates>107.03470543026924,-6.286948238651314 107.03515604138374,-6.286217732762618 107.0353116095066,-6.286337706427896 107.03485831618309,-6.287025554907948 107.03470543026924,-6.286948238651314 </coordinates>"
Bekasi > Pondok Gede,,
Bekasi > Pondok Gede > Giant Extra,3,"<coordinates>106.9138927012682,-6.2781634374373 106.91390343010426,-6.278227424385765 106.91398926079273,-6.278218092956271 106.91397182643414,-6.278143441514285 106.9138927012682,-6.2781634374373 </coordinates>"
Bekasi > Pondok Gede > Pondok Gede Plaza,3,"<coordinates>106.91109716892242,-6.283199719458015 106.91119372844696,-6.285119305918538 106.91185891628265,-6.285119305918538 106.91178381443024,-6.283018424815191 106.91109716892242,-6.283199719458015 </coordinates>"
Bekasi > Pondok Gede > Ruko East Point,3,"<coordinates>106.95197805762291,-6.253973142241444 106.9521926343441,-6.253498550128325 106.95232406258583,-6.253549208857554 106.95213094353676,-6.2540851245873395 106.95209875702858,-6.254098455817404 106.95205584168434,-6.2540877908333785 106.95200756192207,-6.254071793356945 106.95198342204094,-6.254055795880029 106.95196196436882,-6.254045130895138 106.95195391774178,-6.254026467171063 106.95197805762291,-6.253973142241444 </coordinates>"
Bekasi > Pondok Gede > Ruko Fresh Market,,
Bekasi > Pondok Gede > Ruko Jati Makmur Residence,3,"<coordinates>106.93507812917233,-6.285947125393783 106.93538658320904,-6.286147081591237 106.93571113049984,-6.286293716087169 106.93577986210585,-6.286184406739578 106.93515222519636,-6.285811155135617 106.93507812917233,-6.285947125393783 </coordinates>"
